Region,Year,Crop,Area_Harvested (ha),Yield_per_ha (tons),Total_Production (tons),Avg_Rainfall_mm,Avg_Temperature_C,Soil_pH,Fertilizer_Used_kg,Pest_Incidents
East,2022,Barley,521,4.18,2177.78,229,24.7,7.47,112.8,2
West,2023,Corn,713.56,2.42,1726.82,362.4,18.2,5.96,173.3,5
North,2022,Soybean,920.6,4.27,3930.96,289.7,29.4,5.93,156.2,1
East,2023,Rice,842.89,2.05,1727.92,387.5,21.6,7.39,187.2,0
East,2023,Rice,505.54,4.93,2492.31,185.2,17.3,6.39,99.9,15
West,2022,Rice,449,1.55,695.95,381.6,24.2,7.11,96.4,8
North,2021,Wheat,315.8,5.48,1730.58,282,19.7,6.08,119.5,0
North,2023,Wheat,435.18,5.2,2262.94,323.6,34,7.25,51.1,17
East,2022,Rice,199.94,4.39,877.74,370.6,22.2,7.16,81.1,16
South,2020,Barley,973.99,1.34,1305.15,265.4,26.4,6.54,81.7,15
East,2022,Barley,616.53,2.04,1257.72,358.7,34,6.91,59.2,5
East,2020,Wheat,215.03,5.3,1139.66,262.5,22.9,7.43,118.3,17
East,2023,Rice,417.53,1.61,672.22,279.8,22.2,6.4,185.8,13
East,2022,Barley,592.34,1.78,1054.37,233.5,18.2,6.49,50.6,16
West,2022,Wheat,579.6,3.72,2156.11,143.7,33.8,6.95,144.3,5
North,2020,Rice,131.95,2.37,312.72,266.1,31,6.27,181.9,10
West,2022,Corn,955.76,2.11,2016.65,393.2,19.4,7.42,66.1,1
West,2022,Rice,347.84,3.88,1349.62,336.2,21.7,5.58,187.6,2
West,2023,Rice,114.57,2.86,327.67,324.2,33.3,6.31,172.8,7
East,2022,Soybean,168.8,1.7,286.96,293,25.7,6.93,82.2,8
South,2021,Soybean,622.18,3.67,2283.4,204.4,26.1,6.36,185.8,9
North,2020,Corn,224.01,2.94,658.59,150.9,28,6.02,170.6,12
South,2022,Corn,137.55,4.67,642.36,167.4,30.2,6.33,66.7,11
West,2020,Rice,441.66,1.51,666.91,101.9,33.8,7.26,174.6,9
West,2020,Barley,660.49,4.1,2708.01,302,31,6.59,131.3,13
South,2020,Corn,200.66,3.18,638.1,343.6,33.7,6.17,172.4,5
South,2022,Rice,382,3.03,1157.46,180.7,31.4,6.84,142.6,1
South,2022,Wheat,475.98,2.16,1028.12,127.6,15.9,6.72,108.8,14
West,2020,Soybean,243.51,1.15,280.04,200.7,17.4,6.62,140.2,14
West,2021,Barley,555.47,5.24,2910.66,187.6,32.7,6.28,145.4,3
North,2020,Rice,176.69,2.63,464.69,235.3,15.6,5.64,164.9,10
North,2021,Wheat,141.87,4.41,625.65,179.2,30.9,6.74,174.6,6
West,2020,Soybean,567.85,5.74,3259.46,201.9,32,6.34,149.5,14
South,2023,Wheat,323.11,3.82,1234.28,372.3,23.3,6.36,198.4,19
South,2020,Rice,185.84,2.99,555.66,200.5,22.1,5.97,166.8,18
North,2020,Corn,481.52,2.34,1126.76,335.7,18.9,6,186.6,13
West,2022,Soybean,923.63,5.67,5236.98,287.8,16,7.07,97.9,9
North,2021,Wheat,751.77,4.41,3315.31,201.3,29.9,6.46,97.4,5
North,2023,Corn,834.05,4.33,3611.44,345.3,16.5,5.72,104.4,1
East,2021,Barley,884.72,3.13,2769.17,278.5,33.9,5.59,116,6
East,2023,Rice,975.36,5.23,5101.13,102.6,20.9,5.95,194.2,2
East,2020,Rice,786.92,4.57,3596.22,120.6,30.9,6.47,61,7
South,2022,Soybean,647.57,2.42,1567.12,325.8,16.2,6.73,124.8,17
West,2022,Wheat,428.88,4,1715.52,234,25.7,5.79,74.2,14
West,2021,Barley,263.48,3.15,829.96,221.7,22,6.37,171.6,10
West,2022,Soybean,717.99,1.03,739.53,143.7,15.6,5.65,54.7,9
West,2021,Soybean,995.45,5.04,5017.07,147.2,28.1,5.58,118.3,16
East,2021,Wheat,520.62,1.61,838.2,339.3,33.9,7.23,109.2,17
South,2023,Barley,751.31,3.55,2667.15,348.7,15.2,6.82,63.8,0
South,2021,Wheat,545.58,2.68,1462.15,268,20.4,7.06,106.5,1
East,2023,Rice,488.74,2.71,1324.49,188.5,29.1,5.86,171.4,4
South,2022,Corn,469.28,3.39,1590.86,379.8,32.4,6.14,70.6,9
East,2021,Rice,554.16,5.99,3319.42,287.2,18.8,6.39,197.5,11
West,2021,Rice,430.21,3.04,1307.84,339,16.4,6.82,58.8,12
East,2020,Soybean,773.9,1.91,1478.15,101,15.2,6.57,93.4,15
West,2021,Rice,886.84,4.07,3609.44,235.1,19.3,6.6,166.2,2
West,2021,Barley,894.6,2.18,1950.23,361.3,16.4,5.81,103.6,3
North,2020,Rice,304.93,1.53,466.54,201.5,22.2,6.45,122.1,15
East,2020,Barley,906.32,1.25,1132.9,318,23.8,7.15,78,9
North,2022,Wheat,407.4,1.11,452.21,297.3,24.6,6.52,157.3,13
East,2021,Soybean,378.38,3.16,1195.68,145.7,17.8,5.9,76.9,18
East,2022,Barley,754.08,3.13,2360.27,332.5,24.3,6.33,177.3,4
North,2022,Rice,374.23,1.93,722.26,133.8,15.2,7.01,130.9,18
North,2020,Soybean,147.67,4.92,726.54,318.4,19.8,5.77,132.2,10
East,2023,Soybean,436.26,1.65,719.83,397.3,22.4,6.66,190,16
South,2022,Barley,749.32,5.58,4181.21,387.4,17.4,7.43,165.9,6
West,2023,Barley,394.26,3.94,1553.38,340.1,31.3,6.26,161.5,3
North,2021,Corn,666.6,1.14,759.92,260.4,19,5.59,178.7,14
West,2020,Corn,694.11,5.81,4032.78,302.4,30.1,6.77,63.8,3
South,2021,Soybean,760.36,2.54,1931.31,318.4,24.5,5.59,158.9,15
South,2021,Corn,907.42,3.25,2949.12,102.5,24.6,5.88,85,18
South,2020,Rice,489.31,2.42,1184.13,130.7,27.9,5.6,92.1,1
North,2021,Wheat,249.79,4.64,1159.03,279.1,15.9,5.84,52.3,10
South,2020,Soybean,387.03,3.43,1327.51,102,16.6,7.21,184.1,18
North,2023,Wheat,488.95,1.66,811.66,372.7,21.5,6.97,160.9,13
South,2021,Corn,742.5,1.52,1128.6,246.9,23.3,6.18,70.9,11
West,2020,Barley,111.81,4.63,517.68,177.3,23.6,7.29,99.2,18
West,2022,Soybean,384.21,2.19,841.42,218.1,28.5,6.83,122,9
East,2021,Corn,801.86,1.69,1355.14,355.2,15,6.4,124.1,7
West,2023,Rice,703.77,3.5,2463.19,378.2,34.2,5.64,139.3,16
East,2020,Soybean,758.57,5.01,3800.44,134.9,18.5,6.96,120.8,7
West,2021,Soybean,830.63,2.39,1985.21,333.4,20,6.25,147.3,8
North,2021,Barley,804.91,2.38,1915.69,273.5,33.1,6.11,182.6,13
West,2021,Soybean,713.96,5.17,3691.17,275.7,15.1,6.08,109.7,14
East,2023,Barley,495.7,1.74,862.52,333.8,34.8,5.52,181.5,15
East,2020,Corn,985.24,4.08,4019.78,166.9,15.7,6.99,82.9,7
South,2022,Rice,612.17,5.78,3538.34,259.3,17.4,5.79,68.2,2
North,2022,Rice,282.49,5.21,1471.77,195.8,19.8,6.54,85.9,1
West,2022,Soybean,363.53,1.31,476.22,128.4,23.8,5.53,81,0
South,2020,Soybean,724.21,2.6,1882.95,131.5,25.4,6.76,197.8,7
West,2022,Corn,932.27,1.71,1594.18,140.9,17.1,6.24,107.2,5
West,2023,Barley,260.85,5.75,1499.89,284.5,16.5,6.76,147.7,10
South,2020,Rice,174.11,5.93,1032.47,131.7,15.6,5.68,154.4,2
South,2021,Barley,893.38,2.17,1938.63,271,20.1,6.03,116.8,13
South,2023,Corn,923.75,4.35,4018.31,276.5,33.4,5.72,83.5,4
South,2021,Rice,348.74,5.21,1816.94,371.2,22.8,6.79,115.7,19
South,2022,Rice,439.56,2.17,953.85,287.9,30.3,5.72,121.1,12
West,2023,Wheat,694.17,1.94,1346.69,395.7,18.8,6.73,193.1,4
South,2020,Corn,396.94,1.06,420.76,109.3,16.3,5.77,135.3,4
North,2023,Corn,889.44,3.06,2721.69,311.2,26.1,7.39,195.5,9
East,2021,Wheat,196.82,5.5,1082.51,107.9,31.4,6.33,136.5,12
South,2020,Barley,134.18,5.51,739.33,318.8,33,5.75,71.7,9
South,2023,Wheat,287.64,1.64,471.73,215.8,25.9,5.58,107.7,7
West,2023,Corn,357.48,2.02,722.11,283.4,20.9,6.16,168.8,1
South,2023,Barley,201.63,3.04,612.96,192.9,17.2,7.28,113.2,1
South,2023,Rice,159.12,4.9,779.69,147.7,28.4,5.79,65,18
South,2020,Wheat,780.05,4.06,3167,317.1,20.6,7.08,64.4,9
West,2021,Barley,247.85,3.57,884.82,371.4,31.9,6.33,85.6,14
South,2023,Barley,922.53,3.96,3653.22,155.1,27.1,7.11,134.7,15
East,2020,Barley,431.2,1.48,638.18,376.2,32.2,7.25,174.5,9
West,2021,Wheat,703.55,3.39,2385.03,142.1,26.3,7.5,130.1,9
East,2023,Rice,302.86,5.96,1805.05,320.7,30.4,5.64,161.9,19
West,2021,Barley,316.29,1.44,455.46,387.8,20.9,7.09,146.8,18
South,2021,Wheat,617.24,3.6,2222.06,144.2,25.1,5.64,128.6,3
East,2020,Corn,604.58,2.48,1499.36,230.5,15.4,6.13,82.2,1
West,2021,Wheat,791.86,3.7,2929.88,201.2,27.2,6.79,182.5,8
North,2020,Wheat,782.03,3.87,3026.46,216.5,25.7,6.39,91.4,10
South,2023,Wheat,703.62,3.89,2737.08,325.9,30.1,6.63,87.9,2
West,2021,Barley,504.22,5.26,2652.2,298.4,29.6,7.43,88.7,6
North,2021,Wheat,901.58,2.95,2659.66,390.6,27.6,7.14,64.4,5
West,2022,Corn,660.32,3.58,2363.95,155.6,16.1,6.23,124.8,0
North,2023,Barley,991.18,1.05,1040.74,263,33.1,6.7,99.1,11
South,2023,Corn,837.43,4.95,4145.28,234.7,15.4,5.6,128.3,17
East,2022,Soybean,139.88,2.3,321.72,375.7,31.1,6.41,118,8
North,2022,Wheat,388.53,5.08,1973.73,103.2,24.6,6.72,128,4
West,2020,Barley,614.69,2.33,1432.23,396.8,31.4,6.93,94.6,12
South,2020,Barley,749.32,1.05,786.79,243.9,24.3,7.3,172.3,17
North,2021,Wheat,595.3,1.77,1053.68,287.7,27.9,6.07,130.1,14
West,2021,Rice,807.52,5.93,4788.59,208,22.3,7.3,81.3,14
West,2021,Rice,354.39,2.6,921.41,355.8,29.9,6.82,185.3,5
West,2021,Corn,265.52,1.54,408.9,268.6,20.1,5.66,66.4,6
North,2020,Wheat,148.53,1.59,236.16,298.8,29.4,6.26,160,12
North,2023,Wheat,615.98,2.55,1570.75,294.7,18.9,6.45,151.8,11
North,2021,Soybean,719.74,1.19,856.49,209.2,29.4,6.2,60.9,9
East,2023,Rice,393.53,3.56,1400.97,122.8,20.9,5.73,185.2,0
North,2021,Rice,652.23,2.07,1350.12,342.3,20.6,6.6,97.4,10
North,2022,Wheat,146.94,3.6,528.98,186.9,31.2,5.76,161.1,15
North,2021,Corn,189.36,1.7,321.91,354.7,31.3,7.33,91.6,0
East,2021,Wheat,731.58,3.15,2304.48,282.6,28.8,7.23,128.9,17
North,2021,Corn,431.26,3.99,1720.73,206.1,33.5,6.45,195.9,10
West,2020,Rice,704.2,1.31,922.5,278.3,18.1,5.64,141.6,8
North,2022,Soybean,848.55,2.99,2537.16,293.6,20.4,6.6,94.4,13
West,2021,Barley,867.36,2.51,2177.07,312,20.9,6.68,118.8,10
West,2021,Rice,254.95,2.2,560.89,346.7,21.1,7.28,151.4,0
West,2023,Corn,537.66,4.02,2161.39,147.9,21.6,5.64,116.8,10
East,2022,Wheat,760.53,3.94,2996.49,383.2,28.9,6.88,186.6,8
East,2021,Rice,796.58,4.15,3305.81,223.3,20.4,6.63,180.1,1
East,2023,Soybean,806.21,1.79,1443.12,358.1,20.7,5.85,72,9
North,2023,Corn,305.35,2.43,742,166.1,26.4,5.74,167.7,2
West,2020,Wheat,273.28,2.05,560.22,108.7,18.9,6.89,191.4,12
East,2023,Barley,631.01,3.7,2334.74,272,22.3,6.18,97.5,10
East,2021,Corn,766.98,3.31,2538.7,197.4,16.2,7.5,85.7,17
North,2020,Wheat,387.23,2.65,1026.16,395.3,34.1,7.29,51.4,13
East,2020,Barley,194.23,4.93,957.55,131.3,21.3,6.63,67.3,4
North,2021,Wheat,745.07,1.47,1095.25,114.2,32,6.78,194.1,7
South,2022,Barley,369.73,5.87,2170.32,113.5,25.6,5.82,108.7,9
East,2023,Barley,249.73,1.58,394.57,165.1,19.6,7.29,108.1,5
South,2020,Barley,232.95,4.87,1134.47,273.8,18.9,6.42,90,14
North,2022,Wheat,383.42,2.84,1088.91,251.7,28.9,6.54,74.6,7
West,2021,Barley,633.41,5.33,3376.08,205,34.3,7.25,126.3,3
East,2023,Corn,422.56,1.37,578.91,126.6,18.7,5.51,158.5,8
North,2023,Soybean,118.6,2.87,340.38,170.1,17.3,6.49,132.6,4
West,2020,Soybean,187.22,2.68,501.75,155.2,22.7,6.75,55.3,18
West,2023,Barley,361.45,5.97,2157.86,323.7,22.9,5.82,170.5,16
South,2023,Soybean,693.73,5.93,4113.82,334,31.1,5.64,189.7,1
North,2023,Soybean,188.66,1.95,367.89,333.1,24.4,6.57,116.1,12
West,2023,Barley,604.59,4.15,2509.05,390.7,16.2,6.6,105,16
East,2021,Barley,207.9,3.68,765.07,365.3,33.4,6.16,84.5,13
East,2022,Corn,290.45,1.77,514.1,249.3,22.5,7.26,95.3,10
South,2021,Rice,254.97,1.84,469.14,224.5,28.4,6.1,146.7,6
West,2021,Wheat,160.51,5.95,955.03,374.7,28.3,6.53,165.5,1
North,2020,Barley,704.2,3.26,2295.69,283.4,16.1,5.87,99.8,2
East,2023,Barley,517.06,1.63,842.81,188.3,15.1,5.52,101,10
West,2021,Soybean,847.95,2.07,1755.26,269.3,16.8,6.35,117.7,2
West,2023,Corn,189,2.34,442.26,397.6,34.1,6.55,75.5,0
South,2021,Soybean,230.26,3.55,817.42,354.8,30.9,7.03,189.1,18
East,2021,Barley,375.81,2.68,1007.17,184.4,17.6,6.4,155.8,13
East,2020,Barley,789.28,3.28,2588.84,385.9,27.3,6.06,115,16
North,2022,Soybean,375.18,1.83,686.58,394.4,27.2,6.71,68.3,18
East,2022,Barley,467.58,2.63,1229.74,169.4,15,6.26,177.3,18
North,2021,Rice,371.44,1.35,501.44,368.7,23.6,5.97,122.6,18
East,2020,Wheat,172.2,5.45,938.49,365,29.2,7.32,169.5,18
South,2023,Wheat,945.49,1.99,1881.53,111.9,18.7,6.57,55,0
East,2023,Wheat,593.69,4.78,2837.84,300.9,32,5.9,91,10
North,2021,Rice,809.05,2.75,2224.89,191.6,28.2,6.84,143.3,0
North,2022,Barley,692.52,3.37,2333.79,302.4,15.1,7.11,123.2,6
South,2020,Soybean,562.83,2.46,1384.56,374.1,32.1,7.02,94.3,7
East,2022,Corn,180.71,4.48,809.58,249.6,15.4,6.7,80.2,6
East,2023,Barley,678.46,5.22,3541.56,224.3,32.8,6.54,95.3,14
South,2022,Rice,239.83,2.43,582.79,376.5,21.7,7.05,161.4,15
East,2023,Rice,472.94,2.21,1045.2,392.2,29,6.92,77.6,7
East,2020,Wheat,666.2,4.41,2937.94,118.7,30.7,6.64,139.1,9
North,2020,Barley,804.01,1.98,1591.94,376.9,20.6,6.82,113.6,3
East,2021,Wheat,716.54,4.2,3009.47,124.8,22.1,5.84,164.5,12
East,2021,Corn,704.38,1.47,1035.44,201.2,25.2,5.54,80.2,3
South,2022,Wheat,234.14,4.1,959.97,328.8,26.7,7.36,90.5,18
South,2020,Corn,411.52,3.57,1469.13,333.1,20.8,7.37,109.8,5
West,2020,Rice,138.62,1.57,217.63,317.7,34.8,7.08,75,15
North,2021,Wheat,747.53,4.25,3177,111.7,29.7,6.24,119.2,6
East,2023,Wheat,957.33,3.23,3092.18,139.9,20.5,5.8,112.4,12
East,2022,Soybean,337.7,2.09,705.79,380.9,27.8,6.21,198.5,2
West,2022,Rice,178.93,2.77,495.64,124.4,23.7,6.95,139.1,17
East,2021,Soybean,528.01,3.46,1826.91,123.6,32.2,6.17,60.4,16
North,2020,Corn,871.03,1.46,1271.7,350.7,21.6,7.09,119,2
West,2021,Corn,596.78,5.79,3455.36,292.4,18.8,6.85,181.8,19
North,2021,Rice,142.1,4.33,615.29,205.5,15.9,6.76,180,3
West,2021,Corn,976.85,1.51,1475.04,149.7,34.7,7.36,194.3,10
West,2021,Rice,845.78,5.11,4321.94,365.3,22.2,7.29,184.1,17
South,2023,Corn,218.43,2.61,570.1,396.6,19.4,6.92,76.4,18
North,2023,Barley,929.62,3.98,3699.89,115,24.8,5.9,50.5,7
East,2020,Wheat,505.62,2.39,1208.43,266.2,20.8,7.38,142.4,12
East,2021,Barley,434.71,4.67,2030.1,178.4,19.7,5.95,155.4,17
North,2023,Rice,514.95,4.62,2379.07,349.7,27.3,6.25,69.7,0
East,2020,Rice,851.11,3.76,3200.17,203.8,16.5,7.15,75,19
East,2021,Barley,693.53,2.2,1525.77,314.4,25.2,5.92,194.5,16
North,2022,Wheat,153.32,2.27,348.04,261.9,22.7,6.78,191.6,2
West,2023,Wheat,961.84,2.91,2798.95,262.5,25.7,6.42,73.5,6
North,2020,Soybean,233.01,1.73,403.11,357.4,21.4,6.75,87.1,5
West,2022,Corn,771.01,2.69,2074.02,241.1,26.4,7.42,183.8,14
East,2021,Soybean,672.52,4.42,2972.54,353.7,16.6,7.12,115.2,6
East,2021,Wheat,268.78,5.15,1384.22,209,22.5,6.09,169.7,6
East,2021,Barley,253.66,2.66,674.74,152.4,19.7,5.61,109.4,11
South,2023,Corn,883.29,2.17,1916.74,236.6,23.8,7.43,160.5,8
West,2020,Barley,477.73,5.16,2465.09,249.5,23,6.67,109.5,8
South,2022,Soybean,689.12,5.45,3755.7,243.5,27.6,5.85,184.9,10
South,2020,Rice,553.66,3.05,1688.66,342.5,27.6,6.75,98.8,9
North,2023,Barley,754.62,1.13,852.72,269.4,23.3,5.58,128.5,9
South,2020,Soybean,531.32,4.47,2375,366.5,18.6,5.88,128.3,14
North,2023,Soybean,358.64,4.92,1764.51,254.3,26.6,6.77,147.3,15
North,2021,Soybean,427.05,1.09,465.48,167.4,34.3,6.3,96,7
South,2022,Rice,873.17,3.98,3475.22,138.8,18.7,6.15,146.4,12
West,2021,Rice,521.23,3.94,2053.65,360.5,16.4,6.81,71.2,8
West,2020,Rice,292.1,2.89,844.17,116.9,20.3,7.23,184,13
West,2021,Corn,941.14,4.75,4470.42,135.3,23.3,6.86,71.6,19
West,2022,Rice,816.94,3.14,2565.19,119.1,21.1,6.43,176,17
West,2021,Rice,150.1,4.38,657.44,227.1,31.7,6.82,154,1
South,2022,Rice,999.05,3.59,3586.59,259.8,24.9,6.89,101.2,8
South,2022,Barley,725.43,2.24,1624.96,106,19.9,7.05,99.1,9
East,2021,Rice,244.24,4.03,984.29,254.7,34,6.11,194.9,19
West,2023,Corn,313.45,4.68,1466.95,218.1,17.5,5.73,79.2,10
South,2020,Soybean,723.2,5.87,4245.18,332.1,17.5,6.86,158.4,9
East,2023,Barley,801.78,2.9,2325.16,349,19.9,5.74,77.6,18
West,2023,Wheat,315.13,1.32,415.97,305.5,16.5,6.42,185.8,0
North,2021,Rice,331.27,5.94,1967.74,242,30,5.96,161.3,13
East,2020,Soybean,376.41,4.12,1550.81,164.8,21.3,6.16,189.9,8
South,2020,Soybean,638.22,5.73,3657,354.1,29.6,6.44,181.9,4
North,2023,Barley,254.63,1.52,387.04,202.5,30.3,7.29,132.4,11
North,2021,Wheat,193.82,2.71,525.25,206.9,19.8,6.86,72.8,19
North,2020,Corn,710.98,1.67,1187.34,374.8,25.4,5.84,83.2,17
East,2023,Soybean,801.19,5.18,4150.16,392.7,25.4,7.26,80.3,16
South,2020,Soybean,550.84,5.4,2974.54,369.4,32.4,6.5,83.1,19
North,2021,Soybean,427.45,3.51,1500.35,399.5,15.5,5.91,121.5,7
West,2021,Soybean,488.84,1.93,943.46,360.7,21.3,6.55,180.2,0
North,2021,Barley,449.57,1.64,737.29,311.3,32.6,5.88,53.5,3
North,2020,Wheat,963.99,3.94,3798.12,188.1,19.7,6.23,85.8,11
East,2022,Soybean,791.28,3.53,2793.22,385.9,17.7,7.11,139.5,15
East,2020,Corn,287.28,4.47,1284.14,363,26.5,6.82,179.8,4
South,2022,Corn,445.77,2.53,1127.8,172.2,21.1,6.46,94.6,17
West,2021,Rice,589.61,3.01,1774.73,246.7,24.3,5.95,107.4,17
East,2023,Soybean,651.69,1.11,723.38,121,31.4,6.06,106,18
North,2022,Soybean,521.37,4.05,2111.55,386,25.4,7.46,94.1,12
South,2021,Soybean,829.11,3.12,2586.82,271.8,25.3,6.19,154.8,0
North,2021,Soybean,790.85,5.6,4428.76,173.6,20.6,6.73,148.4,7
North,2022,Soybean,554.64,4.21,2335.03,187.7,30.9,6.5,176.5,0
East,2023,Corn,868.99,2.99,2598.28,394.2,29.8,5.55,187.6,19
South,2021,Wheat,775.98,2.32,1800.27,284.7,19.7,7.39,185.1,6
West,2022,Wheat,800.72,5.53,4427.98,226.2,21.4,5.68,131,18
West,2023,Rice,960.76,1.08,1037.62,250,30.8,6.82,77.9,2
East,2023,Corn,339.82,2.63,893.73,129.6,22.2,7.12,83.3,17
East,2021,Soybean,340.88,5.72,1949.83,122.5,23.1,7,138.5,17
South,2020,Wheat,900.06,4.27,3843.26,277.8,22.3,7.12,187.8,5
West,2020,Barley,795,3.66,2909.7,253.6,18.2,6.98,129.6,19
West,2021,Barley,933.89,2.02,1886.46,207.7,21.8,6.39,190.4,13
West,2023,Barley,156.82,5.17,810.76,269.8,31.1,7.29,89.3,6
North,2021,Soybean,664.98,2.02,1343.26,121.8,24.8,7.32,63,10
